Time,Temp1,Temp2,FlowRate,Heater,Cooler,Setpoint,PumpSpeed
2025-07-19 09:56:39.462151,33.25,34.44,-4.0,0.0,100.0,36.0,0.0
2025-07-19 09:56:40.977570,33.25,34.56,2.83,11.75,0.0,36.0,255.0
2025-07-19 09:56:42.493003,33.38,34.69,7.7,10.12,0.0,36.0,255.0
2025-07-19 09:56:44.008198,33.56,34.81,6.39,8.77,0.0,36.0,97.0
2025-07-19 09:56:45.519686,33.88,34.94,3.04,6.57,0.0,36.0,0.0
2025-07-19 09:56:47.035255,34.13,35.0,10.48,6.61,0.0,36.0,255.0
2025-07-19 09:56:48.546514,34.38,35.13,5.57,5.06,0.0,36.0,0.0
2025-07-19 09:56:50.067745,34.56,35.19,5.13,5.28,0.0,36.0,105.0
2025-07-19 09:56:51.577584,34.75,35.31,12.43,3.9,0.0,36.0,255.0
2025-07-19 09:56:53.092691,34.88,35.44,9.87,3.65,0.0,36.0,152.0
2025-07-19 09:56:54.608057,35.06,35.63,10.22,1.6,0.0,36.0,255.0
2025-07-19 09:56:56.127615,35.19,35.88,13.26,0.49,0.0,36.0,255.0
2025-07-19 09:56:57.741284,35.38,36.19,9.48,0.0,1.94,36.0,64.0
2025-07-19 09:56:59.355058,35.56,36.38,9.52,0.0,2.13,36.0,255.0
2025-07-19 09:57:00.969180,35.75,36.56,6.35,0.0,3.26,36.0,0.0
2025-07-19 09:57:02.582687,36.0,36.75,10.39,0.0,5.05,36.0,255.0
2025-07-19 09:57:04.197089,36.19,36.94,7.78,0.0,5.72,36.0,77.0
2025-07-19 09:57:05.806381,36.44,37.06,4.83,0.0,6.87,36.0,0.0
2025-07-19 09:57:07.423824,36.63,37.25,7.61,0.0,8.02,36.0,255.0
2025-07-19 09:57:09.038199,36.81,37.38,12.09,0.0,8.52,36.0,255.0
2025-07-19 09:57:10.651877,37.0,37.5,8.91,0.0,9.5,36.0,86.0
2025-07-19 09:57:12.265173,37.19,37.56,9.09,0.0,9.82,36.0,255.0
2025-07-19 09:57:13.883312,37.31,37.63,11.0,0.0,9.96,36.0,255.0
2025-07-19 09:57:15.496620,37.44,37.63,6.96,0.0,9.91,36.0,0.0
2025-07-19 09:57:17.106671,37.5,37.69,1.91,0.0,10.33,36.0,0.0
2025-07-19 09:57:18.724681,37.56,37.69,7.87,0.0,10.1,36.0,255.0
2025-07-19 09:57:20.356125,37.63,37.75,14.3,0.0,11.0,36.0,255.0
2025-07-19 09:57:21.956060,37.63,37.75,8.17,0.0,10.11,36.0,0.0
2025-07-19 09:57:23.569819,37.69,37.75,8.7,0.0,10.82,36.0,255.0
2025-07-19 09:57:25.187884,37.75,37.75,13.57,0.0,11.06,36.0,255.0
2025-07-19 09:57:26.809446,37.75,37.75,11.09,0.0,10.64,36.0,221.0
2025-07-19 09:57:28.423482,37.75,37.69,9.35,0.0,10.04,36.0,202.0
2025-07-19 09:57:30.037289,37.75,37.75,4.35,0.0,11.21,36.0,0.0
2025-07-19 09:57:31.656486,37.75,37.69,9.96,0.0,10.14,36.0,255.0
2025-07-19 09:57:33.268464,37.75,37.69,9.26,0.0,10.66,36.0,255.0
2025-07-19 09:57:34.886622,37.75,37.69,7.09,0.0,10.71,36.0,91.0
2025-07-19 09:57:36.500131,37.75,37.69,4.22,0.0,10.76,36.0,0.0
2025-07-19 09:57:38.114367,37.75,37.69,7.91,0.0,10.81,36.0,255.0
2025-07-19 09:57:39.728077,37.75,37.69,7.26,0.0,10.87,36.0,194.0
2025-07-19 09:57:41.247429,37.69,37.63,7.48,44.67,0.0,45.0,255.0
2025-07-19 09:57:42.762953,37.69,37.63,6.35,29.26,0.0,45.0,131.0
2025-07-19 09:57:44.278393,37.69,37.63,9.83,29.41,0.0,45.0,255.0
2025-07-19 09:57:45.793787,37.69,37.63,4.57,29.56,0.0,45.0,0.0
2025-07-19 09:57:47.308848,37.69,37.63,10.57,29.7,0.0,45.0,255.0
2025-07-19 09:57:48.824299,37.69,37.63,7.13,29.85,0.0,45.0,17.0
2025-07-19 09:57:50.343821,37.69,37.56,7.39,30.43,0.0,45.0,255.0
2025-07-19 09:57:51.859596,37.69,37.56,8.78,30.27,0.0,45.0,255.0
2025-07-19 09:57:53.375173,37.69,37.56,9.78,30.42,0.0,45.0,255.0
2025-07-19 09:57:54.886111,37.63,37.56,6.3,31.0,0.0,45.0,0.0
2025-07-19 09:57:56.402064,37.69,37.63,5.52,29.96,0.0,45.0,127.0
2025-07-19 09:57:57.921449,37.69,37.69,5.96,30.3,0.0,45.0,220.0
2025-07-19 09:57:59.436914,37.69,37.81,7.65,29.88,0.0,45.0,255.0
2025-07-19 09:58:00.952644,37.75,38.0,12.3,28.9,0.0,45.0,255.0
2025-07-19 09:58:02.471651,37.81,38.19,12.35,28.54,0.0,45.0,255.0
2025-07-19 09:58:03.987434,37.94,38.44,9.22,27.3,0.0,45.0,123.0
2025-07-19 09:58:05.502873,38.0,38.63,5.91,27.56,0.0,45.0,0.0
2025-07-19 09:58:07.018480,38.19,38.88,9.52,25.87,0.0,45.0,255.0
2025-07-19 09:58:08.533726,38.31,39.06,8.35,26.0,0.0,45.0,215.0
2025-07-19 09:58:10.049176,38.5,39.19,6.26,25.5,0.0,45.0,78.0
2025-07-19 09:58:11.564885,38.69,39.38,4.3,24.55,0.0,45.0,11.0
2025-07-19 09:58:13.080308,38.88,39.63,8.91,23.48,0.0,45.0,255.0
2025-07-19 09:58:14.599881,39.06,39.88,10.13,22.72,0.0,45.0,255.0
2025-07-19 09:58:16.115113,39.31,40.13,10.3,21.51,0.0,45.0,255.0
2025-07-19 09:58:17.634545,39.5,40.31,8.0,21.49,0.0,45.0,132.0
2025-07-19 09:58:19.150106,39.75,40.56,10.35,19.96,0.0,45.0,255.0
2025-07-19 09:58:20.665612,39.94,40.75,4.3,19.93,0.0,45.0,0.0
2025-07-19 09:58:22.176852,40.19,40.94,2.48,18.83,0.0,45.0,0.0
2025-07-19 09:58:23.693636,40.38,41.19,3.0,18.04,0.0,45.0,123.0
2025-07-19 09:58:25.207824,40.63,41.44,4.3,16.8,0.0,45.0,221.0
2025-07-19 09:58:26.719184,40.88,41.69,2.48,15.88,0.0,45.0,0.0
2025-07-19 09:58:28.234476,41.06,41.88,5.35,15.82,0.0,45.0,255.0
2025-07-19 09:58:29.750241,41.25,42.13,5.09,14.7,0.0,45.0,151.0
2025-07-19 09:58:31.269549,41.5,42.31,6.13,13.89,0.0,45.0,255.0
2025-07-19 09:58:32.780790,41.75,42.5,3.3,13.07,0.0,45.0,0.0
2025-07-19 09:58:34.296529,42.0,42.69,9.04,12.25,0.0,45.0,255.0
2025-07-19 09:58:35.815971,42.19,42.94,12.91,11.42,0.0,45.0,255.0
2025-07-19 09:58:37.327261,42.44,43.19,5.26,10.16,0.0,45.0,0.0
2025-07-19 09:58:38.842853,42.63,43.38,4.35,10.07,0.0,45.0,85.0
2025-07-19 09:58:40.358314,42.88,43.63,4.39,8.48,0.0,45.0,146.0
2025-07-19 09:58:41.873259,43.06,43.88,10.57,7.95,0.0,45.0,255.0
2025-07-19 09:58:43.389081,43.25,44.06,9.17,7.54,0.0,45.0,239.0
2025-07-19 09:58:44.900494,43.5,44.31,5.13,5.93,0.0,45.0,0.0
2025-07-19 09:58:46.415844,43.69,44.5,6.3,5.83,0.0,45.0,255.0
2025-07-19 09:58:47.927315,43.94,44.75,8.3,4.22,0.0,45.0,255.0
2025-07-19 09:58:49.446740,44.19,45.0,10.61,3.22,0.0,45.0,255.0
2025-07-19 09:58:50.958224,44.44,45.31,8.0,1.79,0.0,45.0,120.0
2025-07-19 09:58:52.473605,44.69,45.5,5.91,1.54,0.0,45.0,74.0
2025-07-19 09:58:53.988667,44.88,45.69,7.43,1.09,0.0,45.0,255.0
2025-07-19 09:58:55.500468,45.06,45.81,6.39,0.77,0.0,45.0,159.0
2025-07-19 09:58:57.114193,45.25,46.06,4.74,0.0,0.74,45.0,58.0
2025-07-19 09:58:58.727719,45.5,46.31,8.78,0.0,2.07,45.0,255.0
2025-07-19 09:59:00.345750,45.69,46.63,7.65,0.0,3.09,45.0,202.0
2025-07-19 09:59:01.966624,45.94,47.06,5.3,0.0,5.44,45.0,36.0
2025-07-19 09:59:03.569054,46.25,47.25,3.61,0.0,5.53,45.0,12.0
2025-07-19 09:59:05.182495,46.5,47.38,2.48,0.0,5.7,45.0,4.0
2025-07-19 09:59:06.796203,46.75,47.5,5.43,0.0,6.49,45.0,255.0
2025-07-19 09:59:08.410454,46.94,47.56,6.83,0.0,6.41,45.0,255.0
2025-07-19 09:59:10.024368,47.13,47.63,8.3,0.0,6.96,45.0,255.0
2025-07-19 09:59:11.638086,47.25,47.69,8.83,0.0,7.07,45.0,255.0
2025-07-19 09:59:13.255602,47.38,47.75,8.39,0.0,7.5,45.0,255.0
2025-07-19 09:59:14.869529,47.5,47.75,10.43,0.0,7.49,45.0,255.0
2025-07-19 09:59:16.483178,47.56,47.75,7.96,0.0,7.35,45.0,131.0
2025-07-19 09:59:18.101009,47.63,47.81,6.48,0.0,7.97,45.0,138.0
2025-07-19 09:59:19.710921,47.69,47.81,3.74,0.0,7.84,45.0,0.0
2025-07-19 09:59:21.324741,47.69,47.75,8.78,0.0,7.14,45.0,255.0
2025-07-19 09:59:22.942387,47.75,47.75,12.48,0.0,7.95,45.0,255.0
2025-07-19 09:59:24.560391,47.75,47.75,10.52,0.0,7.69,45.0,255.0
2025-07-19 09:59:26.170129,47.75,47.75,5.87,0.0,7.74,45.0,0.0
2025-07-19 09:59:27.793469,47.75,47.75,4.13,0.0,7.8,45.0,36.0
2025-07-19 09:59:29.397540,47.75,47.75,5.87,0.0,7.85,45.0,255.0
2025-07-19 09:59:31.015138,47.75,47.69,14.57,0.0,7.47,45.0,255.0
2025-07-19 09:59:32.628958,47.75,47.69,9.96,0.0,7.84,45.0,80.0
2025-07-19 09:59:34.238579,47.69,47.69,3.61,0.0,7.45,45.0,0.0
2025-07-19 09:59:35.856403,47.69,47.63,12.78,0.0,7.38,45.0,255.0
2025-07-19 09:59:37.469915,47.69,47.63,10.0,0.0,7.75,45.0,198.0
2025-07-19 09:59:39.087914,47.69,47.63,8.04,0.0,7.8,45.0,176.0
2025-07-19 09:59:40.701433,47.63,47.56,8.3,0.0,6.98,45.0,255.0
2025-07-19 09:59:42.312983,47.63,47.56,2.61,0.0,7.65,45.0,0.0
2025-07-19 09:59:43.925441,47.63,47.56,6.39,0.0,7.71,45.0,255.0
2025-07-19 09:59:45.538905,47.63,47.5,4.83,0.0,7.32,45.0,80.0
2025-07-19 09:59:47.152953,47.56,47.5,2.52,0.0,7.24,45.0,0.0
2025-07-19 09:59:48.766550,47.56,47.5,5.52,0.0,7.61,45.0,255.0
2025-07-19 09:59:50.380186,47.56,47.44,7.43,0.0,7.22,45.0,255.0
2025-07-19 09:59:51.993650,47.56,47.44,9.22,0.0,7.58,45.0,255.0
2025-07-19 09:59:53.608340,47.5,47.44,9.74,0.0,7.19,45.0,255.0
2025-07-19 09:59:55.225648,47.5,47.38,13.17,0.0,7.12,45.0,255.0
2025-07-19 09:59:56.843730,47.44,47.38,13.78,0.0,7.04,45.0,255.0
2025-07-19 09:59:58.461194,47.44,47.38,12.57,0.0,7.4,45.0,255.0
2025-07-19 10:00:00.074995,47.44,47.31,8.22,0.0,7.01,45.0,40.0
2025-07-19 10:00:01.689048,47.44,47.31,13.52,0.0,7.37,45.0,255.0
2025-07-19 10:00:03.306368,47.38,47.25,13.78,0.0,6.54,45.0,255.0
2025-07-19 10:00:04.929841,47.38,47.25,8.78,0.0,7.21,45.0,23.0
2025-07-19 10:00:06.534308,47.31,47.25,6.57,0.0,6.82,45.0,117.0
2025-07-19 10:00:08.147599,47.31,47.19,4.43,0.0,6.74,45.0,40.0
2025-07-19 10:00:09.761726,47.31,47.19,5.74,0.0,7.1,45.0,255.0
2025-07-19 10:00:11.375002,47.31,47.19,9.61,0.0,7.15,45.0,255.0
2025-07-19 10:00:12.997888,47.25,47.19,8.83,0.0,6.75,45.0,255.0
2025-07-19 10:00:14.606709,47.25,47.13,11.96,0.0,6.67,45.0,255.0
2025-07-19 10:00:16.220208,47.25,47.13,5.87,0.0,7.03,45.0,0.0
2025-07-19 10:00:17.834429,47.19,47.06,5.61,0.0,6.19,45.0,207.0
2025-07-19 10:00:19.448223,47.19,47.06,6.43,0.0,6.86,45.0,255.0
2025-07-19 10:00:21.066148,47.19,47.06,12.52,0.0,6.9,45.0,255.0
2025-07-19 10:00:22.685060,47.13,47.06,10.48,0.0,6.51,45.0,255.0
