Time,Temp1,Temp2,FlowRate,Heater,Cooler,Setpoint,PumpSpeed
2025-07-19 09:56:39.462151,33.25,34.44,-4.0,0.0,100.0,36.0,0.0
2025-07-19 09:56:40.977570,33.25,34.56,2.83,11.75,0.0,36.0,255.0
2025-07-19 09:56:42.493003,33.38,34.69,7.7,10.12,0.0,36.0,255.0
2025-07-19 09:56:44.008198,33.56,34.81,6.39,8.77,0.0,36.0,97.0
2025-07-19 09:56:45.519686,33.88,34.94,3.04,6.57,0.0,36.0,0.0
2025-07-19 09:56:47.035255,34.13,35.0,10.48,6.61,0.0,36.0,255.0
2025-07-19 09:56:48.546514,34.38,35.13,5.57,5.06,0.0,36.0,0.0
2025-07-19 09:56:50.067745,34.56,35.19,5.13,5.28,0.0,36.0,105.0
2025-07-19 09:56:51.577584,34.75,35.31,12.43,3.9,0.0,36.0,255.0
2025-07-19 09:56:53.092691,34.88,35.44,9.87,3.65,0.0,36.0,152.0
2025-07-19 09:56:54.608057,35.06,35.63,10.22,1.6,0.0,36.0,255.0
2025-07-19 09:56:56.127615,35.19,35.88,13.26,0.49,0.0,36.0,255.0
2025-07-19 09:56:57.741284,35.38,36.19,9.48,0.0,1.94,36.0,64.0
2025-07-19 09:56:59.355058,35.56,36.38,9.52,0.0,2.13,36.0,255.0
2025-07-19 09:57:00.969180,35.75,36.56,6.35,0.0,3.26,36.0,0.0
2025-07-19 09:57:02.582687,36.0,36.75,10.39,0.0,5.05,36.0,255.0
2025-07-19 09:57:04.197089,36.19,36.94,7.78,0.0,5.72,36.0,77.0
2025-07-19 09:57:05.806381,36.44,37.06,4.83,0.0,6.87,36.0,0.0
2025-07-19 09:57:07.423824,36.63,37.25,7.61,0.0,8.02,36.0,255.0
2025-07-19 09:57:09.038199,36.81,37.38,12.09,0.0,8.52,36.0,255.0
2025-07-19 09:57:10.651877,37.0,37.5,8.91,0.0,9.5,36.0,86.0
2025-07-19 09:57:12.265173,37.19,37.56,9.09,0.0,9.82,36.0,255.0
2025-07-19 09:57:13.883312,37.31,37.63,11.0,0.0,9.96,36.0,255.0
2025-07-19 09:57:15.496620,37.44,37.63,6.96,0.0,9.91,36.0,0.0
2025-07-19 09:57:17.106671,37.5,37.69,1.91,0.0,10.33,36.0,0.0
2025-07-19 09:57:18.724681,37.56,37.69,7.87,0.0,10.1,36.0,255.0
2025-07-19 09:57:20.356125,37.63,37.75,14.3,0.0,11.0,36.0,255.0
2025-07-19 09:57:21.956060,37.63,37.75,8.17,0.0,10.11,36.0,0.0
2025-07-19 09:57:23.569819,37.69,37.75,8.7,0.0,10.82,36.0,255.0
2025-07-19 09:57:25.187884,37.75,37.75,13.57,0.0,11.06,36.0,255.0
2025-07-19 09:57:26.809446,37.75,37.75,11.09,0.0,10.64,36.0,221.0
2025-07-19 09:57:28.423482,37.75,37.69,9.35,0.0,10.04,36.0,202.0
2025-07-19 09:57:30.037289,37.75,37.75,4.35,0.0,11.21,36.0,0.0
2025-07-19 09:57:31.656486,37.75,37.69,9.96,0.0,10.14,36.0,255.0
2025-07-19 09:57:33.268464,37.75,37.69,9.26,0.0,10.66,36.0,255.0
2025-07-19 09:57:34.886622,37.75,37.69,7.09,0.0,10.71,36.0,91.0
2025-07-19 09:57:36.500131,37.75,37.69,4.22,0.0,10.76,36.0,0.0
2025-07-19 09:57:38.114367,37.75,37.69,7.91,0.0,10.81,36.0,255.0
2025-07-19 09:57:39.728077,37.75,37.69,7.26,0.0,10.87,36.0,194.0
2025-07-19 09:57:41.247429,37.69,37.63,7.48,44.67,0.0,45.0,255.0
2025-07-19 09:57:42.762953,37.69,37.63,6.35,29.26,0.0,45.0,131.0
